Pub. Al,Flight,Origin,Destination,Dep. time,Arr. time,Op. Days,Block time,Distance,Stops,Eqpmt.,Freq.,Seats,Timeseries
4U,2797,KEF,STR,00:40:00,06:20:00,1   5,03:40,2546,0,319,2,288,2016-06-13
4U,7809,KEF,HAM,00:50:00,06:05:00,1   5,03:15,2165,0,319,2,300,2016-06-13
4U,8213,KEF,TXL,00:35:00,06:05:00,1   5,03:30,2404,0,319,2,288,2016-06-13
4U,881,KEF,CGN,00:55:00,06:10:00,5,03:15,2264,0,319,1,150,2016-06-13
4U,881,KEF,CGN,01:25:00,06:40:00,1,03:15,2264,0,319,1,150,2016-06-13
4U,9817,KEF,DUS,00:50:00,06:05:00,2   6,03:15,2211,0,319,2,300,2016-06-13
6F,103,KEF,TFS,08:15:00,14:50:00,3,05:35,4019,0,738,1,189,2016-06-13
6F,103,KEF,TFS,08:30:00,15:05:00,6,05:35,4019,0,738,1,189,2016-06-13
6F,107,KEF,ALC,06:05:00,12:40:00,5,04:35,3207,0,738,1,189,2016-06-13
6F,107,KEF,ALC,08:50:00,15:25:00,7,04:35,3207,0,738,1,189,2016-06-13
6F,107,KEF,ALC,17:40:00,00:15:00,2,04:35,3207,0,738,1,189,2016-06-13
6F,123,KEF,BCN,18:30:00,00:40:00,5,04:10,2979,0,738,1,189,2016-06-13
6F,141,KEF,LEI,08:15:00,15:05:00,1,04:50,3306,0,738,1,189,2016-06-13
6F,147,KEF,CHQ,08:30:00,17:25:00,4,05:55,4437,0,738,1,189,2016-06-13
6F,161,KEF,PMI,06:00:00,12:25:00,2,04:25,3178,0,738,1,189,2016-06-13
AB,2507,KEF,HAM,01:00:00,06:05:00,1   5,03:05,2165,0,320,2,360,2016-06-13
AB,3547,KEF,TXL,01:00:00,06:25:00,4  7,03:25,2404,0,320,2,360,2016-06-13
AB,3547,KEF,TXL,01:00:00,06:25:00,3,03:25,2404,0,321,1,212,2016-06-13
AB,3547,KEF,TXL,01:00:00,06:25:00,1,03:25,2404,0,321,1,210,2016-06-13
AB,3547,KEF,TXL,01:00:00,06:25:00,1 3 56,03:25,2404,0,321,2,420,2016-06-13
AB,3907,KEF,MUC,00:25:00,06:05:00,3,03:40,2689,0,321,1,212,2016-06-13
AB,3907,KEF,MUC,00:25:00,06:05:00,1,03:40,2689,0,320,1,174,2016-06-13
AB,3907,KEF,MUC,00:25:00,06:05:00,1 3 5,03:40,2689,0,320,1,180,2016-06-13
AB,3929,KEF,DUS,00:45:00,06:05:00,3 5,03:20,2211,0,321,2,420,2016-06-13
AB,3929,KEF,DUS,00:45:00,06:05:00,1,03:20,2211,0,321,1,212,2016-06-13
BA,801,KEF,LHR,10:55:00,14:50:00,3 5 7,02:55,1894,0,32A,3,468,2016-06-13
BT,170,KEF,RIX,08:10:00,14:55:00,4  7,03:45,2602,0,733,2,276,2016-06-13
DL,245,KEF,JFK,11:30:00,13:23:00,7,05:53,4160,0,75W,1,168,2016-06-13
DL,246,KEF,JFK,10:30:00,12:20:00,1234567,05:50,4160,0,757,7,1393,2016-06-13
DL,261,KEF,MSP,08:30:00,10:03:00,1234567,06:33,4723,0,757,7,1393,2016-06-13
